product_id,tab,product_name,upc,department,category,current_image_path,ak_wholesale_product_name,ak_image_url,notes
glass-00001,glass,$20 CHILLUMS,6617000000,AMERICAN GLASS,Uncategorized,,,,
glass-00002,glass,CHILLUMS MJ,mj25ch,AMERICAN GLASS,Uncategorized,,,,
glass-00003,glass,GRAVITY BONG TYSON 2.0,811736026628,AMERICAN GLASS,Uncategorized,,,,
glass-00004,glass,HANDPIPE $25,2530grp,AMERICAN GLASS,Uncategorized,,,,
glass-00005,glass,HANDPIPE $35,3540grp,AMERICAN GLASS,Uncategorized,,,,
glass-00006,glass,HANDPIPE MJ,3540mj,AMERICAN GLASS,Uncategorized,,,,
glass-00007,glass,MJ ARSENAL MINI SUMMIT,795402704546,AMERICAN GLASS,Uncategorized,,,,
glass-00008,glass,CHEECH JJ COLLAB BUBBLER,cpip273,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00009,glass,COOKIES OG CHILLUM,645781557130,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00010,glass,EMPIRE SPOON HOOTIES FOREST,ehphofr,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00011,glass,EMPIRE SPOON MOSSY LOG,ehpmolo,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00012,glass,EMPIRE SPOON RIBBIT,ehpribb,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00013,glass,EMPIRE SPOON SUNSHINE GARDEN,ehpsuga,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00014,glass,EMPIRE SPOON VIOLA BUTTERFLY,ehpvibu,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00015,glass,GRAVITY BONG COOKIES,"852570004670,060901",AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00016,glass,HELIX COLORED CHILLUMS,3540ac,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00017,glass,MJ ARSENAL CLAUDE,681541559945,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00018,glass,MJ ARSENAL GEMINI ORBITAL SERIES,698869552732,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00019,glass,MJ ARSENAL JAMMER,689820756641,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00020,glass,MJ ARSENAL RECLAIM CATCHER,746175412360,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00021,glass,MJ ARSENAL ROYALE,681541332876,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00022,glass,MJ ARSENAL URSA,681541194061,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00023,glass,TYSON 2.0 HAYMAKER WATER PIPE,140150t2,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00024,glass,MJ ARSENAL X TYSON 2.0 PUNCH OUT BUBBLER FOR CONES,mjtycb,AMERICAN GLASS,CONE BUBBLER,,,,
glass-00025,glass,STONED POTTER ARTISIAN SERIES,3540sp,AMERICAN GLASS,STONED PIPES,,,,
glass-00026,glass,CHEECH PUFFCO BUBBLER,chp182,GLASS,Uncategorized,,,,
glass-00027,glass,HUNKS SMOKE ASH CATHCER,060103664332,GLASS,Uncategorized,,,,
glass-00028,glass,HUNKS SMOKE ASH CATHCER,060103664356,GLASS,Uncategorized,,,,
glass-00029,glass,MJ ARSENAL APEX MINI RIG,747580118241,GLASS,Uncategorized,,,,
glass-00030,glass,HUNKS SMOKE ASH CATHCER,060103664363,GLASS,ASH CATCHER,,,,
glass-00031,glass,VESSEL HELIX FULL KIT,850012462682,GLASS,BRASS PIPE,,,,
glass-00032,glass,GRAV LAB 16MM OCTO TASTER W SILICON SKIN BLACK,810014752853,GLASS,CHILLUMS,,,,
glass-00033,glass,ALEAF KIT GLOBE,725272730706,GLASS,GLASS ACCESSORIES,,,,
glass-00034,glass,ALEAF KIT R RECLAIMER,"766129868487,766129868432,766129868500,720053576481,766129868494",GLASS,GLASS ACCESSORIES,,,,
glass-00035,glass,ALEAF SPINNER KIT X 18 MALE/45 DEGREE,766129862003,GLASS,GLASS ACCESSORIES,,,,
glass-00036,glass,ALEAF SPINNER KIT Z 90 DEGREE 18MM,766129862027,GLASS,GLASS ACCESSORIES,,,,
glass-00037,glass,ALEAF TERP SLURPER DUO,766129866360,GLASS,GLASS ACCESSORIES,,,,
glass-00038,glass,GLIIZY EGLE WING BANGER 14MM /90 DEGRESS,762851948282,GLASS,GLASS ACCESSORIES,,,,
glass-00039,glass,GLIIZY QUARTZ BANGER SET REGULAR,762851933769,GLASS,GLASS ACCESSORIES,,,,
glass-00040,glass,GLIIZY QUARTZ BANGER SPINNER KIT,"762851933806,762851933813,762851933820",GLASS,GLASS ACCESSORIES,,,,
glass-00041,glass,GLIIZY QUARTZ BANGER SPINNER KIT GLOVES,762851933790,GLASS,GLASS ACCESSORIES,,,,
glass-00042,glass,GLIIZY STAINLESS STEEL DABBER,762851933844,GLASS,GLASS ACCESSORIES,,,,
glass-00043,glass,MJ ARSENAL EXCALIBUR DAB TOOL,653485972357,GLASS,GLASS ACCESSORIES,,,,
glass-00044,glass,SPACEKING XXL TERP SLIDE BANGER KIT,5690991344624,GLASS,GLASS ACCESSORIES,,,,
glass-00045,glass,GRAV GANDALF PIPES,"3540gp,0608421",GLASS,HANDPIPE,,,,
glass-00046,glass,METAL HANDPIPE $10,6363700000,GLASS,HANDPIPE,,,,
glass-00047,glass,ALEAF LIQUID PURIFIER WIG WAG STYLE NC KIT,"766129860627,766129860610,766129860603,766129859522",GLASS,NECTOR COLLECTOR,,,,
glass-00048,glass,DICHRO GALAXY GLASS NECTAR COLLECTOR GOLD,785366943801,GLASS,NECTOR COLLECTOR,,,,
glass-00049,glass,DICHRO GALAXY GLASS NECTAR COLLECTOR RED,785366943795,GLASS,NECTOR COLLECTOR,,,,
glass-00050,glass,OOZE BECTAR,810042460508,GLASS,SILICONE WATER PIPE,,,,
glass-00051,glass,OOZE BECTAR,810042460515,GLASS,SILICONE WATER PIPE,,,,
glass-00052,glass,OOZE BECTAR,810042460522,GLASS,SILICONE WATER PIPE,,,,
glass-00053,glass,OOZE STACK,810859033513,GLASS,SILICONE WATER PIPE,,,,
glass-00054,glass,OOZE STEAMBOAT,810859033469,GLASS,SILICONE WATER PIPE,,,,
glass-00055,glass,OOZE STEAMBOAT,810859033476,GLASS,SILICONE WATER PIPE,,,,
glass-00056,glass,OOZE STEAMBOAT,852384006815,GLASS,SILICONE WATER PIPE,,,,
glass-00057,glass,OOZE TRIP,810859033575,GLASS,SILICONE WATER PIPE,,,,
glass-00058,glass,OOZE TRIP,810859033599,GLASS,SILICONE WATER PIPE,,,,
glass-00059,glass,"SNAPPY SNOWMAN SILICONE WATER PIPE 5.5""",snapsno,GLASS,SILICONE WATER PIPE,,,,
glass-00060,glass,"WHAT UP, CAT SILICONE WATER PIPE 5.5""",s202530,GLASS,SILICONE WATER PIPE,,,,
glass-00061,glass,WOLF SCORPIAN PIPE SMALL LIGHT BLUE,628250877625,GLASS,SMALL GLASS,,,,
glass-00062,glass,DONUT CERAMIC PIPE BY FASHIONCRAFT,c253035,GLASS,WATER-PIPE,,,,
glass-00063,glass,ICE CREAM SUNDAE CERAMIC PIPE BY FASHIONCRAFT,253035c,GLASS,WATER-PIPE,,,,
glass-00064,glass,THE JOURNEY PIPE BLACK,811926023727,METAL PIPE,Uncategorized,,,,
glass-00065,glass,THE JOURNEY PIPE SILVER,811926023734,METAL PIPE,Uncategorized,,,,
glass-00066,glass,THE JOURNEY PIPE SMOKE & MIRRORS,811926023758,METAL PIPE,Uncategorized,,,,
glass-00067,glass,HIPSTER UV PROTECTED SUNGLASSES,691835638751,NOVELTY,SUNGLASSES,,,,
glass-00068,glass,HAND BLOWN PIPE,152025a,AMERICAN GLASS,Uncategorized,,,,
glass-00069,glass,BLUE CLEAR TALL BEAKER BASE,06227501001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00070,glass,BLUE CLEAR TALL BEAKER STEM,06227601001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00071,glass,CHEECH JJ COLLAB BUBBLER,cpip272,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00072,glass,CHEECH JJ COLLAB BUBBLER,cpip274,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00073,glass,CHEECH JJ COLLAB BUBBLER,cpip275,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00074,glass,DEANGELO,041437800481,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00075,glass,DESSERT DREAM'N BEAKER BASE,062269010015,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00076,glass,DESSERT DREAM'N BEAKER STEM,062270010011,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00077,glass,FLOWER POWER BEAKER DBL STACK BASE,06228001001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00078,glass,FLOWER POWER BEAKER DBL STACK PERC,062281010017,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00079,glass,FLOWER POWER BEAKER DBL STACK STEM,06228201001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00080,glass,FLOWER POWER BIG SINGLE STACK BASE,06227301001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00081,glass,FLOWER POWER BIG SINGLE STACK STEM,06227401001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00082,glass,HALO CLEAR TYE DIE DBL STACK BASE,06228501001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00083,glass,HALO CLEAR TYE DIE DBL STACK PERC,06228601001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00084,glass,HALO CLEAR TYE DIE DBL STACK STEM,06228701001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00085,glass,HALO GOLD STANDARD BEAKER,062271010010,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00086,glass,HALO GOLD STANDARD STEM,062272010019,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00087,glass,HALO MOONLIGHT ROSE BEAKER BASE,062267010017,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00088,glass,HALO MOONLIGHT ROSE BEAKER DBL STACK BASE,06227701001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00089,glass,HALO MOONLIGHT ROSE BEAKER DBL STACK PERC,06227801001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00090,glass,HALO MOONLIGHT ROSE BEAKER DBL STACK STEM,06227901001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00091,glass,HALO MOONLIGHT ROSE BEAKER STEM,06226801001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00092,glass,HALO PRETTY DONE BEAKER BASE,062263010011,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00093,glass,HALO PRETTY DONE BEAKER STEM,062264010010,AMERICAN GLASS,AMERICAN GLASS,,,,
