id,tab,name,department,category,upc,price,imageSearchUrl,approvedImageUrl
glass-00001,glass,$20 CHILLUMS,AMERICAN GLASS,Uncategorized,6617000000,20.0,https://www.google.com/search?tbm=isch&q=%2420+CHILLUMS+6617000000+product+image,
glass-00002,glass,CHILLUMS MJ,AMERICAN GLASS,Uncategorized,mj25ch,25.0,https://www.google.com/search?tbm=isch&q=CHILLUMS+MJ+mj25ch+product+image,
glass-00003,glass,GRAVITY BONG TYSON 2.0,AMERICAN GLASS,Uncategorized,811736026628,700.0,https://www.google.com/search?tbm=isch&q=GRAVITY+BONG+TYSON+2.0+811736026628+product+image,
glass-00004,glass,HANDPIPE $25,AMERICAN GLASS,Uncategorized,2530grp,25.0,https://www.google.com/search?tbm=isch&q=HANDPIPE+%2425+2530grp+product+image,
glass-00005,glass,HANDPIPE $35,AMERICAN GLASS,Uncategorized,3540grp,35.0,https://www.google.com/search?tbm=isch&q=HANDPIPE+%2435+3540grp+product+image,
glass-00006,glass,HANDPIPE MJ,AMERICAN GLASS,Uncategorized,3540mj,35.0,https://www.google.com/search?tbm=isch&q=HANDPIPE+MJ+3540mj+product+image,
glass-00007,glass,MJ ARSENAL MINI SUMMIT,AMERICAN GLASS,Uncategorized,795402704546,130.0,https://www.google.com/search?tbm=isch&q=MJ+ARSENAL+MINI+SUMMIT+795402704546+product+image,
glass-00008,glass,CHEECH JJ COLLAB BUBBLER,AMERICAN GLASS,AMERICAN GLASS,cpip273,90.0,https://www.google.com/search?tbm=isch&q=CHEECH+JJ+COLLAB+BUBBLER+cpip273+product+image,
glass-00009,glass,COOKIES OG CHILLUM,AMERICAN GLASS,AMERICAN GLASS,645781557130,25.0,https://www.google.com/search?tbm=isch&q=COOKIES+OG+CHILLUM+645781557130+product+image,
glass-00010,glass,EMPIRE SPOON HOOTIES FOREST,AMERICAN GLASS,AMERICAN GLASS,ehphofr,75.0,https://www.google.com/search?tbm=isch&q=EMPIRE+SPOON+HOOTIES+FOREST+ehphofr+product+image,
glass-00011,glass,EMPIRE SPOON MOSSY LOG,AMERICAN GLASS,AMERICAN GLASS,ehpmolo,75.0,https://www.google.com/search?tbm=isch&q=EMPIRE+SPOON+MOSSY+LOG+ehpmolo+product+image,
